url,url_length,has_at_symbol,double_slash_in_path,has_ip,count_hyphens,count_dots,count_slashes,count_special_chars,https_in_domain,url_depth,has_sensitive_keywords,tld_type,is_similar_to_brand,dash_in_domain,digit_count,vowel_ratio,is_short_url,has_hex_chars,label
https://aimeemagee.com,22,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.36363636363636365,0,0,0
https://4dewislot.org,21,0,0,0,0,1,2,4,0,0,0,org,0,0,1,0.19047619047619047,0,0,0
https://rudys-roofing-inc.com,29,0,0,0,2,1,2,6,0,0,0,com,0,1,0,0.20689655172413793,0,0,0
http://whiterhinomarketing.com,30,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.26666666666666666,0,0,0
https://ashevillestarsball.com,30,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.23333333333333334,0,0,0
https://advertisingmediaunlimited.com,37,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.32432432432432434,0,0,0
https://churchtap.net,21,0,0,0,0,1,2,4,0,0,0,net,0,0,0,0.14285714285714285,0,0,0
https://3atg88.org,18,0,0,0,0,1,2,4,0,0,0,org,0,0,3,0.1111111111111111,0,0,0
http://nextlevel.coffee,23,0,0,0,0,1,2,4,0,0,0,coffee,0,0,0,0.2608695652173913,0,0,0
https://chu-chi-juice.com,25,0,0,0,2,1,2,6,0,0,0,com,0,1,0,0.24,0,0,0
https://oliveiragoulart.com,27,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.3333333333333333,1,0,0
https://upatire.store,21,0,0,0,0,1,2,4,0,0,0,store,0,0,0,0.2857142857142857,0,0,0
https://mymodafoca.com,22,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.22727272727272727,0,0,0
https://mxpics.com,18,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.1111111111111111,0,0,0
https://expertislogconsulting.com,33,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.24242424242424243,0,0,0
https://aquamastermarineservicesllc.com,39,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.3076923076923077,0,0,0
https://sketchbookhub.store,27,0,0,0,0,1,2,4,0,0,0,store,0,0,0,0.2222222222222222,0,0,0
https://rivo-group.com,22,0,0,0,1,1,2,5,0,0,0,com,0,1,0,0.22727272727272727,0,0,0
https://forestwideshipping.com,30,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.23333333333333334,0,0,0
https://ace-avl.com,19,0,0,0,1,1,2,5,0,0,0,com,0,1,0,0.21052631578947367,0,0,0
https://a2hstudios.com,22,0,0,0,0,1,2,4,0,0,0,com,0,0,1,0.22727272727272727,0,0,0
https://sazonpuertorico.com,27,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.2962962962962963,0,0,0
https://richrockstore.com,25,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.2,0,0,0
https://dcvero.com,18,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.16666666666666666,0,0,0
https://nextbridgeconsultants.com,33,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.21212121212121213,0,0,0
https://arvprivatesecurity.com,30,0,0,0,0,1,2,4,0,0,1,com,0,0,0,0.26666666666666666,0,0,0
https://purdentixnow.com,24,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.20833333333333334,0,0,0
https://recipesby.com,21,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.19047619047619047,0,0,0
https://zoomandwag.store,24,0,0,0,0,1,2,4,0,0,0,store,0,0,0,0.25,0,0,0
https://chflashnews.com,23,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.13043478260869565,0,0,0
https://lacasalau.com,21,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.2857142857142857,0,0,0
https://thefamilystew.com,25,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.2,0,0,0
http://readytogoonyourjourney.com,33,0,0,0,0,1,2,4,0,0,0,com,0,0,0,0.3333333333333333,0,0,0
